/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.23/cv4.0/cv4.0.0/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0,output1
1,0,0,1,0,0,0,0,1,0,1,1,282.84027099609375,1.6136248111724854
0,1,1,1,0,1,1,0,0,0,1,1,99.71979522705078,0.7513600587844849
1,0,1,0,0,0,1,0,1,0,1,0,282.31671142578125,1.634531021118164
1,1,0,0,1,0,0,1,0,1,1,0,286.45147705078125,1.671186089515686
1,0,0,0,0,0,0,1,1,1,0,1,293.87139892578125,1.6447280645370483
0,1,0,1,0,0,1,0,0,1,1,1,152.81851196289062,0.9151016473770142
0,0,0,1,0,1,0,0,0,1,1,0,158.3970947265625,0.6888307929039001
0,1,1,0,1,0,1,1,1,1,0,1,129.07785034179688,0.9050015211105347
0,0,0,0,0,0,1,0,1,0,0,1,52.8997917175293,0.5125007033348083
1,1,1,0,1,1,1,1,1,0,0,0,288.2351989746094,1.6716506481170654
1,0,0,0,1,1,1,0,1,1,0,0,291.98736572265625,1.6240133047103882
0,1,1,1,0,0,1,1,1,1,0,0,141.93392944335938,0.9195920825004578
0,0,1,1,1,1,0,0,0,0,1,0,99.35421752929688,0.4040955901145935
0,1,0,0,0,0,1,1,1,0,0,0,40.88166427612305,0.7319438457489014
0,1,0,1,0,0,1,0,0,1,1,0,159.40904235839844,0.8946233987808228
0,0,1,0,0,1,0,0,0,0,1,0,99.35421752929688,0.4040955901145935
1,0,0,1,1,0,0,1,1,0,0,0,283.9037170410156,1.6192858219146729
1,0,0,0,0,1,1,1,0,1,1,0,287.0718994140625,1.6821880340576172
0,1,0,1,0,0,0,0,1,1,1,1,152.81851196289062,0.863900363445282
