/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.23/cv4.0/cv4.0.0/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0,output1
0,1,1,0,0,1,1,0,0,0,0,0,42.042236328125,22.115604400634766
0,0,1,0,0,1,0,0,1,1,1,0,38.6482048034668,23.589094161987305
1,1,0,1,1,0,1,0,0,1,1,1,32.48686981201172,15.513460159301758
1,0,1,0,1,0,1,0,0,0,1,0,32.974639892578125,16.189449310302734
0,1,0,0,0,1,1,1,0,1,1,0,38.012367248535156,18.754796981811523
1,1,1,1,1,1,0,0,1,0,1,1,32.47096633911133,16.294071197509766
0,0,0,1,1,0,0,0,1,1,0,1,40.095218658447266,24.746273040771484
0,0,0,0,0,1,0,1,0,1,0,0,41.24589157104492,23.219341278076172
1,0,1,1,0,1,1,1,0,0,0,0,32.998443603515625,15.92017650604248
1,0,1,0,1,0,1,0,0,1,1,1,32.69176483154297,16.173078536987305
1,0,1,1,0,1,0,0,1,1,0,0,32.18791198730469,16.66788673400879
1,0,0,1,0,0,0,0,1,1,1,1,32.946632385253906,16.886613845825195
0,1,1,0,0,0,1,0,0,0,1,1,40.680355072021484,21.245159149169922
0,1,0,0,1,0,0,0,0,0,1,0,41.41034698486328,24.594179153442383
