/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.23/cv4.0/cv4.0.0/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0,output1
1,0,0,0,1,0,1,1,1,0,0,0,1866.6490478515625,151.57858276367188
1,0,0,1,0,0,0,0,1,0,1,1,1865.3948974609375,140.89666748046875
0,1,1,1,0,1,1,0,0,0,1,1,609.033447265625,72.68510437011719
1,0,1,0,0,0,1,0,1,0,1,0,1900.3082275390625,148.75027465820312
1,1,0,0,1,0,0,1,0,1,1,0,1921.5377197265625,146.29183959960938
1,0,0,0,0,0,0,1,1,1,0,1,1973.4945068359375,148.29820251464844
0,1,0,1,0,0,1,0,0,1,1,1,956.0021362304688,90.26121520996094
0,0,0,1,0,1,0,0,0,1,1,0,867.2969970703125,58.45363235473633
0,1,1,0,1,0,1,1,1,1,0,1,896.2155151367188,93.20661926269531
0,0,0,0,0,0,1,0,1,0,0,1,197.47686767578125,50.21646499633789
1,1,1,0,1,1,1,1,1,0,0,0,1920.2515869140625,158.87060546875
1,0,0,0,1,1,1,0,1,1,0,0,1977.870361328125,152.26473999023438
0,1,1,1,0,0,1,1,1,1,0,0,910.97900390625,93.57102966308594
0,0,1,1,1,1,0,0,0,0,1,0,533.498291015625,26.810657501220703
0,1,0,0,0,0,1,1,1,0,0,0,371.85711669921875,76.5046615600586
0,1,0,1,0,0,1,0,0,1,1,0,943.5272216796875,89.46315002441406
0,0,1,0,0,1,0,0,0,0,1,0,468.361328125,26.810657501220703
1,0,0,1,1,0,0,1,1,0,0,0,1879.6947021484375,143.6211700439453
1,0,0,0,0,1,1,1,0,1,1,0,1894.8955078125,147.9800567626953
0,1,0,1,0,0,0,0,1,1,1,1,956.0021362304688,75.87858581542969
0,0,1,0,1,1,1,1,1,0,1,0,510.461669921875,66.14805603027344
1,0,1,0,1,1,1,0,0,1,0,1,1998.5377197265625,150.47064208984375
0,0,1,0,1,0,0,0,1,0,1,1,522.5599365234375,34.406593322753906
0,1,1,0,1,1,0,1,1,0,0,0,487.1834411621094,57.225929260253906
1,1,1,0,0,1,1,1,0,0,1,0,1926.732421875,159.28231811523438
1,0,0,1,1,0,1,1,1,0,1,1,1872.6627197265625,152.45559692382812
1,1,1,0,0,1,1,0,0,1,0,1,2018.9193115234375,158.02915954589844
1,1,0,1,0,0,0,0,0,0,1,1,1892.161865234375,145.31480407714844
0,0,1,1,1,1,0,1,1,1,0,1,813.1278076171875,63.79742431640625
1,1,1,0,0,0,0,1,1,0,1,0,1926.730224609375,150.8154296875
1,0,0,0,0,0,1,1,1,1,0,1,1973.4945068359375,155.5161895751953
1,0,0,0,0,1,0,1,0,1,1,0,1894.8955078125,139.79722595214844
0,0,0,1,0,0,0,1,1,0,0,1,244.01675415039062,40.006752014160156
1,0,1,1,1,1,1,1,0,1,1,0,1941.4326171875,147.9800567626953
1,0,1,0,1,1,0,1,1,0,1,1,1879.273681640625,144.6944122314453
0,1,0,1,1,1,0,0,0,0,0,1,483.5852966308594,44.37062072753906
0,1,0,0,0,0,0,1,1,0,0,0,371.85711669921875,57.225929260253906
1,1,0,1,0,0,0,0,0,1,1,0,1926.4527587890625,142.04782104492188
1,1,0,0,1,1,1,0,1,0,0,0,1899.9150390625,154.70042419433594
0,0,1,0,0,1,0,1,0,0,0,1,297.77520751953125,35.593345642089844
0,1,0,0,0,0,1,0,1,1,0,0,850.0656127929688,86.33821868896484
0,0,1,0,0,1,0,0,0,0,0,1,297.77520751953125,13.65623664855957
1,0,1,1,0,1,1,0,1,0,0,0,1893.4664306640625,147.48291015625
1,1,1,0,1,0,0,1,1,1,0,0,2026.149658203125,155.0178680419922
1,0,0,0,1,1,1,1,0,0,0,0,1866.650634765625,150.5543212890625
0,1,1,0,0,1,1,0,0,0,0,0,444.278564453125,65.69120788574219
0,0,1,0,0,1,0,0,1,1,1,0,884.4094848632812,61.7408332824707
1,1,0,1,1,0,1,0,0,1,1,1,1931.231201171875,151.2952117919922
1,0,1,0,1,0,1,0,0,0,1,0,1908.018798828125,147.6399383544922
0,1,0,0,0,1,1,1,0,1,1,0,928.2122192382812,96.66031646728516
1,1,1,1,1,1,0,0,1,0,1,1,1921.549072265625,146.74021911621094
0,0,0,1,1,0,0,0,1,1,0,1,769.0142822265625,54.27998733520508
0,0,0,0,0,1,0,1,0,1,0,0,751.536376953125,61.4932861328125
1,0,1,1,0,1,1,1,0,0,0,0,1893.4664306640625,150.5543212890625
1,0,1,0,1,0,1,0,0,1,1,1,1919.047607421875,143.379638671875
1,0,1,1,0,1,0,0,1,1,0,0,2009.9232177734375,145.2397918701172
1,0,0,1,0,0,0,0,1,1,1,1,1904.8291015625,136.94161987304688
0,1,1,0,0,0,1,0,0,0,1,1,594.18896484375,72.68510437011719
0,1,0,0,1,0,0,0,0,0,1,0,570.8585205078125,49.98932647705078
